Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4632,0.052
2,4.4818,0.088
3,4.5379,0.1175
4,4.5512,0.148
5,4.3653,0.1688
6,4.5184,0.1614
7,4.2124,0.1725
8,4.3638,0.1917
9,4.1443,0.2017
10,4.1013,0.2158
11,3.9439,0.2262
12,4.003,0.2216
13,3.9107,0.2312
14,3.807,0.2315
15,3.8418,0.2454
16,3.9293,0.2431
17,3.8351,0.2426
18,3.675,0.2432
19,3.686,0.2358
20,3.6369,0.2549
21,3.6064,0.2621
22,3.6947,0.2633
23,3.6646,0.2655
24,3.584,0.2659
25,3.6072,0.2695
26,3.6144,0.2699
27,3.5334,0.2682
28,3.5526,0.272
29,3.4791,0.2663
30,3.523,0.2736
31,3.5099,0.2756
32,3.4679,0.2783
33,3.5025,0.279
34,3.5155,0.2798
35,3.4679,0.2811
36,3.4797,0.2816
37,3.4883,0.2807
38,3.5253,0.2818
39,3.507,0.2855
40,3.4286,0.2849
41,3.4402,0.2867
42,3.4207,0.2884
43,3.423,0.2885
44,3.4429,0.2898
45,3.4198,0.2898
46,3.4375,0.2904
47,3.4306,0.2894
48,3.4082,0.2907
49,3.4102,0.2919
50,3.3993,0.2931
51,3.3827,0.294
52,3.371,0.2943
53,3.3652,0.2941
54,3.373,0.2931
55,3.3673,0.2942
56,3.3667,0.294
57,3.368,0.2953
58,3.3786,0.2949
59,3.3838,0.2948
60,3.391,0.2945
61,3.399,0.2944
62,3.3982,0.2957
63,3.3842,0.2961
64,3.3681,0.2977
65,3.3633,0.2982
66,3.3568,0.2971
67,3.3526,0.2979
68,3.3534,0.298
69,3.3579,0.2988
70,3.3596,0.2992
71,3.3604,0.3008
72,3.3641,0.3002
73,3.3632,0.3006
74,3.359,0.3008
75,3.36,0.3025
76,3.3595,0.3017
77,3.3619,0.3029
78,3.3614,0.3023
79,3.3629,0.3029
80,3.353,0.3036
81,3.3542,0.3034
82,3.3522,0.304
83,3.351,0.3039
84,3.35,0.3039
85,3.3506,0.3038
86,3.3481,0.3039
87,3.3508,0.3042
88,3.3511,0.3047
