Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,2.0860,2.2333,2.1334,2.0919,2.1378,2.2293,2.2726,2.2861,2.3336,2.3035
2,2.0069,1.9947,2.0429,2.0228,1.9470,2.2386,2.1606,2.1261,2.1248,2.1901
3,2.0242,1.9312,2.0218,1.9654,1.9906,2.0328,2.0872,2.1191,2.0539,2.0475
4,1.9665,1.9744,1.9723,1.9027,1.9455,2.0114,2.0588,2.2060,2.0486,2.0270
5,1.9122,1.9180,1.9267,1.9078,1.9471,1.9476,1.9882,2.0452,1.9511,1.9509
6,1.9280,1.8115,1.8956,1.9489,1.9015,1.8893,1.9520,2.0015,1.9343,1.9785
7,1.8304,1.8714,1.8862,1.9139,1.9680,1.9292,1.9974,1.8666,1.9155,2.0456
8,1.8621,2.0037,1.9414,1.8699,1.8549,1.8954,2.0402,1.9556,1.9207,1.9255
9,1.9118,1.8720,1.8755,1.8430,1.9375,1.8647,1.9161,1.8945,1.9357,1.9515
10,1.7980,1.8746,1.8720,1.8509,1.9376,1.9869,1.9711,1.9296,1.9057,1.9153
11,1.8572,1.9385,1.8717,1.8284,1.9068,1.9451,1.9755,1.9688,1.8780,1.8994
12,1.8271,1.7960,2.0571,1.8008,1.8783,1.8469,1.9223,1.9081,1.9205,1.9248
13,1.8401,1.8306,1.8788,1.8311,1.8517,1.9095,1.9098,1.8897,1.8637,1.8553
14,1.7714,1.7604,1.8348,1.8402,1.8295,1.8680,1.9687,1.8737,1.9462,1.8611
15,1.8129,1.7635,1.9009,1.8279,1.8532,1.8955,1.9257,1.8582,1.9262,1.8770
16,1.7207,1.8160,1.7752,1.7424,1.7769,1.8784,1.9225,1.8371,1.9424,1.9523
17,1.7151,1.7743,1.8280,1.7640,1.7745,1.8901,1.9323,1.8227,1.8401,1.8346
18,1.7610,1.8578,1.7642,1.7587,1.7999,1.8924,1.9016,1.8126,1.8463,1.8893
19,1.7333,1.7177,1.7552,1.7086,1.7886,1.8662,1.8580,1.9170,1.8534,1.8844
20,1.7064,1.7835,1.8260,1.7400,1.7490,1.8060,1.9358,1.8713,1.8192,1.8100
21,1.7697,1.6939,1.7476,1.6886,1.7220,1.8419,1.8710,1.8970,1.8793,1.8509
22,1.7439,1.7115,1.7790,1.6902,1.7822,1.7727,1.9203,1.9146,1.8062,1.9246
23,1.7067,1.6739,1.7267,1.7669,1.7738,1.8259,1.8183,1.8306,1.8448,1.9352
24,1.6598,1.6668,1.7322,1.7303,1.6854,1.9333,1.8304,1.7929,1.8715,1.9082
25,1.6874,1.7747,1.7092,1.6442,1.7042,1.7741,1.9653,1.8636,1.7997,1.8616
26,1.7886,1.6805,1.7579,1.6623,1.6426,1.8117,1.8600,1.9431,1.9603,1.8259
27,1.5989,1.6590,1.6983,1.7545,1.7176,1.9067,1.8534,1.7849,1.8301,1.8689
28,1.6296,1.6082,1.6589,1.7023,1.6650,1.7779,1.8445,1.7762,1.8100,1.7802
29,1.6501,1.6498,1.7436,1.7275,1.7101,1.7662,1.9136,1.7942,1.7487,1.7992
30,1.5905,1.6243,1.7500,1.6272,1.6696,1.7861,1.8474,1.8794,1.7570,1.7619
31,1.5630,1.5688,1.6575,1.5655,1.6078,1.7986,1.7994,1.8072,1.8083,1.7637
32,1.5495,1.5753,1.6686,1.5645,1.7132,1.7328,1.8001,1.7674,1.8063,1.8125
33,1.5482,1.6648,1.6669,1.5883,1.6294,1.8586,1.9005,1.8348,1.7933,1.7682
34,1.6118,1.5464,1.6394,1.6328,1.6504,1.7401,1.8769,1.8068,1.7454,1.7596
35,1.5558,1.5638,1.6018,1.5950,1.6545,1.7590,1.8152,1.8153,1.7660,1.7300
36,1.5211,1.5286,1.6420,1.5565,1.5979,1.8328,1.8129,1.7894,1.7646,1.8227
37,1.5383,1.5352,1.6672,1.5868,1.6024,1.7730,1.8534,1.8421,1.7334,1.7949
38,1.5149,1.5107,1.6991,1.6771,1.6118,1.8378,1.7888,1.7952,1.8261,1.8105
39,1.5610,1.5326,1.5910,1.5784,1.5753,1.7617,1.8342,1.8173,1.8317,1.8920
40,1.4565,1.5259,1.5367,1.5381,1.6373,1.8638,1.7788,1.7420,1.7643,1.6828
41,1.4505,1.4584,1.5897,1.5700,1.5128,1.8054,1.7303,1.6954,1.7509,1.8107
42,1.4674,1.4352,1.5771,1.5371,1.5610,1.7227,1.7837,1.7827,1.7468,1.7166
43,1.5019,1.4629,1.5166,1.4640,1.5053,1.7936,1.8063,1.8051,1.7564,1.6995
44,1.4582,1.4069,1.5082,1.4969,1.6178,1.7789,1.7810,1.6932,1.7099,1.7363
45,1.4859,1.5003,1.5101,1.5269,1.5015,1.8133,1.7999,1.8153,1.7706,1.7547
46,1.4364,1.4270,1.5472,1.5047,1.5447,1.8154,1.7640,1.7341,1.7871,1.6988
47,1.4389,1.3942,1.5861,1.4500,1.5471,1.7276,1.7496,1.7100,1.6920,1.7900
48,1.4323,1.3933,1.5125,1.4459,1.5235,1.7251,1.7724,1.7711,1.6795,1.7015
49,1.3925,1.5094,1.5200,1.5105,1.5037,1.7411,1.6893,1.7513,1.7312,1.7662
50,1.4741,1.3862,1.5217,1.4671,1.5029,1.7045,1.8265,1.6981,1.7052,1.7104
51,1.3840,1.3520,1.5159,1.4588,1.4826,1.6579,1.7156,1.7589,1.7150,1.7325
52,1.3710,1.3505,1.5420,1.4877,1.4898,1.6689,1.7573,1.8490,1.7184,1.6592
53,1.3227,1.3556,1.5486,1.4678,1.5455,1.6602,1.8212,1.6359,1.6949,1.7522
54,1.3699,1.3764,1.5497,1.4303,1.4419,1.6313,1.7942,1.7310,1.6564,1.6452
55,1.3927,1.3089,1.4469,1.4564,1.4628,1.7355,1.7997,1.7758,1.6883,1.7608
56,1.3830,1.3150,1.4348,1.4967,1.4199,1.7090,1.7569,1.6846,1.6643,1.7270
57,1.3129,1.2844,1.4122,1.4078,1.6323,1.7414,1.7217,1.7720,1.8255,1.7073
58,1.2976,1.3604,1.4720,1.4278,1.4902,1.7663,1.6700,1.6694,1.6399,1.6838
59,1.3552,1.2962,1.5324,1.4769,1.4090,1.7687,1.6943,1.7133,1.6706,1.7408
60,1.3567,1.2977,1.4748,1.4200,1.4473,1.7036,1.6873,1.7487,1.7152,1.8191
61,1.3011,1.2854,1.4334,1.3963,1.4356,1.6089,1.7649,1.7723,1.7877,1.7021
62,1.2808,1.2517,1.4403,1.4464,1.4271,1.7762,1.6900,1.6325,1.7680,1.6780
63,1.2631,1.2947,1.3825,1.3659,1.4280,1.7278,1.7589,1.6465,1.7345,1.7259
64,1.2373,1.2804,1.4015,1.4751,1.4069,1.6842,1.8424,1.6797,1.6476,1.6711
65,1.3623,1.2699,1.4167,1.3570,1.5178,1.6725,1.6598,1.6558,1.5678,1.6995
66,1.2536,1.2982,1.3967,1.3921,1.3767,1.7051,1.8322,1.7025,1.6071,1.6570
67,1.2546,1.2910,1.3617,1.3811,1.3387,1.8338,1.8159,1.7005,1.6611,1.7328
68,1.2546,1.2116,1.4106,1.4023,1.3883,1.6290,1.7036,1.6842,1.6867,1.6147
69,1.2659,1.2042,1.3666,1.4025,1.3744,1.6289,1.7413,1.6111,1.6780,1.7535
70,1.2179,1.1863,1.4424,1.3748,1.4256,1.6831,1.7438,1.6193,1.6815,1.5695
71,1.2752,1.2209,1.3845,1.4213,1.4002,1.6469,1.8005,1.7206,1.6046,1.5979
72,1.2241,1.2593,1.3371,1.3730,1.3640,1.6612,1.7463,1.6717,1.6335,1.6638
73,1.2425,1.2553,1.3851,1.3609,1.3640,1.5755,1.6365,1.6533,1.6588,1.6191
74,1.3371,1.1974,1.3610,1.3415,1.3320,1.7343,1.6901,1.7109,1.6587,1.5598
75,1.1762,1.1548,1.3169,1.3866,1.3330,1.6735,1.6703,1.6541,1.6649,1.6607
76,1.2402,1.3229,1.4723,1.3479,1.3437,1.6648,1.7033,1.5850,1.6506,1.7145
77,1.1785,1.1886,1.3367,1.3476,1.3405,1.6011,1.7322,1.6062,1.6555,1.7563
78,1.2175,1.1921,1.3602,1.3827,1.3688,1.7120,1.6441,1.7149,1.7769,1.7471
79,1.1905,1.1936,1.5274,1.3380,1.2990,1.6403,1.6998,1.6868,1.6864,1.6548
80,1.2186,1.1706,1.2964,1.3286,1.4486,1.7260,1.6242,1.6510,1.6253,1.6464
81,1.2487,1.1531,1.3250,1.3540,1.3003,1.6252,1.6771,1.6389,1.6401,1.6962
82,1.1347,1.1570,1.3569,1.3632,1.3203,1.6010,1.7006,1.6577,1.5974,1.7349
83,1.1576,1.0939,1.3097,1.3016,1.3237,1.6633,1.7075,1.7019,1.6239,1.6024
84,1.1522,1.2006,1.3266,1.2858,1.3888,1.6450,1.7196,1.6634,1.6564,1.6489
85,1.1228,1.1047,1.3627,1.2911,1.3456,1.6055,1.7656,1.6107,1.7194,1.6100
86,1.1632,1.0880,1.3433,1.3001,1.3161,1.6576,1.6789,1.6901,1.6197,1.6734
87,1.1102,1.1095,1.2979,1.3174,1.3274,1.6915,1.6621,1.6182,1.6547,1.7017
88,1.1532,1.1369,1.3022,1.3088,1.3237,1.5772,1.6245,1.6829,1.5941,1.6317
89,1.0833,1.0939,1.2963,1.3029,1.2623,1.6266,1.6747,1.5613,1.6125,1.5547
90,1.1397,1.0616,1.2959,1.2714,1.2998,1.7923,1.7123,1.5456,1.5638,1.6286
91,1.1130,1.0485,1.3783,1.2657,1.3256,1.6729,1.6291,1.6199,1.6078,1.6356
92,1.1100,1.0850,1.2883,1.3273,1.3282,1.5248,1.6415,1.6875,1.6516,1.5672
93,1.0711,1.0645,1.2903,1.2850,1.3193,1.7036,1.5886,1.6845,1.6060,1.8063
94,1.0976,1.0288,1.3073,1.2910,1.3089,1.6982,1.7899,1.6111,1.6933,1.6381
95,1.0796,1.0676,1.3088,1.2737,1.2790,1.6926,1.6428,1.6489,1.6602,1.6037
96,1.1185,1.1135,1.2950,1.2715,1.2439,1.5955,1.6805,1.5956,1.7460,1.7033
97,1.0957,1.0022,1.3449,1.3154,1.3155,1.5973,1.6302,1.6674,1.6625,1.6412
98,1.2163,1.1272,1.2393,1.3108,1.2487,1.6282,1.6196,1.5261,1.7039,1.5602
99,1.1438,1.0327,1.2634,1.2657,1.2764,1.5659,1.6931,1.6026,1.6930,1.7054
100,1.1065,1.0700,1.3305,1.2480,1.2267,1.6633,1.6275,1.6571,1.6084,1.6018
101,1.0231,1.0321,1.3124,1.2264,1.3189,1.5680,1.6160,1.6848,1.5754,1.7951
102,1.1185,1.0812,1.2962,1.2098,1.3321,1.6052,1.7943,1.5748,1.5612,1.6737
103,1.0351,1.0163,1.2891,1.2521,1.2484,1.6243,1.5895,1.5843,1.7473,1.6807
104,1.0419,1.0026,1.3360,1.2340,1.3404,1.5436,1.6282,1.7314,1.6396,1.7341
105,1.0358,0.9998,1.2663,1.2377,1.2481,1.6160,1.6008,1.6757,1.6602,1.6570
106,1.0346,1.0151,1.2511,1.2520,1.2363,1.6868,1.6164,1.5745,1.6836,1.6724
107,1.0739,0.9765,1.3223,1.2541,1.2943,1.6667,1.6696,1.6294,1.7000,1.7109
108,1.0580,1.0678,1.2331,1.2237,1.3076,1.6603,1.6844,1.7044,1.6450,1.7434
109,0.9898,0.9521,1.2288,1.2062,1.2623,1.6397,1.7603,1.5955,1.5383,1.5787
110,0.9697,0.9828,1.2580,1.1983,1.2185,1.6070,1.7802,1.6304,1.5328,1.6385
111,1.0326,0.9576,1.3037,1.3061,1.2348,1.5970,1.5514,1.5795,1.5890,1.5812
112,0.9716,1.0139,1.2833,1.2233,1.2119,1.6181,1.6400,1.5931,1.5677,1.6257
113,1.0272,0.9533,1.2269,1.1509,1.2440,1.7324,1.6892,1.7033,1.6003,1.6612
114,0.9640,0.9242,1.2558,1.2489,1.2667,1.7509,1.5633,1.6028,1.6724,1.6846
115,1.0125,1.0018,1.2436,1.3184,1.3161,1.6295,1.5537,1.6721,1.6617,1.7861
116,1.0120,0.9615,1.2059,1.1968,1.2290,1.5924,1.7036,1.6353,1.6218,1.6593
117,0.9554,0.9969,1.2379,1.1930,1.2156,1.7226,1.7028,1.6490,1.7287,1.6774
118,0.9801,0.9075,1.2633,1.1827,1.2114,1.6284,1.6826,1.6312,1.5529,1.7050
119,1.0067,0.9527,1.2542,1.2468,1.2503,1.6465,1.7513,1.6279,1.5921,1.6380
120,0.9515,0.9116,1.2069,1.3207,1.2084,1.4929,1.7261,1.5125,1.7962,1.7002
121,0.9540,0.9417,1.2207,1.1841,1.1937,1.6628,1.6810,1.6069,1.6703,1.7648
122,0.9770,0.9005,1.2297,1.1972,1.1984,1.5970,1.7254,1.6187,1.5927,1.5518
123,0.9249,0.9006,1.2763,1.2157,1.2316,1.5771,1.5992,1.7224,1.5745,1.6138
